quality_score,Owner,Country_of_Origin,Farm_Name,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Harvest_Year,Grading_Date,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,Expiration,Certification_Body,Certification_Address,Certification_Contact,Altitude_Units,Lower_Altitude,Upper_Altitude
88.08,Mohammed Lalo,Ethiopia,Fahem Coffee Plantation,Fahem Coffee Plantation,Oromia,Fahem Coffee Plantation,300,60,METAD Agricultural Development plc,2014,"March 27th, 2015",,Completed,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,Sample  88.08,10%,0 full defects,0,,1 full defects,"March 26th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",meters,1855,1955
87.92,CQI Q Coffee Sample Representative,United States,El filo,Coffee Quality Institute,Antioquía-Giraldo,Alfredo De Jesús López Pérez,10,1,Almacafé,2014,"March 13th, 2015",Other,Completed,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,Sample  87.92,0%,0 full defects,0,,0 full defects,"March 12th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1872,
87.92,CQI Q Coffee Sample Representative,United States,Los Cedros,Coffee Quality Institute,Antioquía-Betulia,Jorge Walter Restrepo,10,1,Almacafé,2014,"March 13th, 2015",Other,Completed,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,Sample  87.92,0%,0 full defects,0,,0 full defects,"March 12th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1943,
87.92,Grounds for Health Admin,United States (Hawaii),Arianna Farms,,Kona,"Robert, Sharon, Arianna Wood",1,1,Specialty Coffee Association,Sept 2009 - April 2010,"May 31st, 2010",,Completed,,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,Sample  87.92,0%,0 full defects,0,,2 full defects,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,feet,2000,
87.83,Ethiopia Commodity Exchange,Ethiopia,Aolme,,Oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60,Ethiopia Commodity Exchange,Mar-10,"August 31st, 2010",,Completed,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,Sample  87.83,5%,0 full defects,0,,2 full defects,"August 31st, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,meters,1570,1700
87.58,CQI Q Coffee Sample Representative,United States,El Águila,Coffee Quality Institute,Antioquía-Caicedo,María Leticia Diosa,10,1,Almacafé,2014,"March 13th, 2015",Other,Completed,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,Sample  87.58,0%,0 full defects,0,,0 full defects,"March 12th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,2080,
87.42,Grounds for Health Admin,Indonesia,Toarco Jaya,,Sulawesi,P.T. Toarco Jaya,1,0,Specialty Coffee Association,May-August,"May 31st, 2010",,Completed,,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,Sample  87.42,3%,0 full defects,0,,0 full defects,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1200,1800
87.33,Ethiopia Commodity Exchange,Ethiopia,,,Yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",,Completed,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,Sample  87.33,5%,0 full defects,0,,2 full defects,"June 16th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,
87.25,Yunnan Coffee Exchange,China,Echo Coffee,Yunnan Coffee Exchange,Yunnan Province XiShuangBanNa City Menghai County,Echo Coffee,3,60,Yunnan Coffee Exchange,2015,"April 7th, 2016",Catimor,Completed,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,Sample  87.25,10%,0 full defects,0,Green,0 full defects,"April 7th, 2017",Yunnan Coffee Exchange,"Warehouse of YCE, Chuangye Road, Munaihe Industrial Park, Pu'er Yunnan Province 665000",Zooey Li - +8608792891121,meters,1450,
87.25,EssenceCoffee,Ethiopia,Drima Zede,Essence Coffee,Gedio,LevelUp,250,60,Blossom Valley International,2014,"March 25th, 2015",Ethiopian Yirgacheffe,Completed,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,Sample  87.25,0%,0 full defects,0,,8 full defects,"March 24th, 2016",Blossom Valley International,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen - +886-4-23022323,meters,1700,2000
87.25,CQI Q Coffee Sample Representative,United States,El Rodeo,Coffee Quality Institute,Antioquía-Betulia,Nicolás Rueda Urrego,10,1,Almacafé,2014,"March 13th, 2015",Other,Completed,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,Sample  87.25,0%,0 full defects,0,None,0 full defects,"March 12th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,2019,
87.17,The Coffee Source Inc.,Costa Rica,SEVERAL,The Coffee Source Inc.,SAN RAMON,SEVERAL,250,1.360776,Specialty Coffee Association,2014,"April 2nd, 2014",Caturra,Completed,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,Sample  87.17,11%,0 full defects,0,Green,2 full defects,"April 2nd, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1300,
87.17,ROBERTO LICONA FRANCO,Mexico,LA HERRADURA,,XALAPA,ROBERTO LICONA FRANCO,14,1,AMECAFE,2012,"July 26th, 2012",Other,Completed,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,Sample  87.17,13%,0 full defects,0,Green,0 full defects,"July 26th, 2013",AMECAFE,Tenayuca 107 Col. Vertiz Narvarte México D.F. Z.C. 03600,Sylvia Gutiérrez - 52-55-56884569 ext 6792,meters,1320,
87.08,CQI Q Coffee Sample Representative,United States,La curva,Coffee Quality Institute,Antioquía-Giraldo,Silvia Elena Higuita,10,1,Almacafé,2014,"March 13th, 2015",Other,Completed,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,Sample  87.08,0%,0 full defects,0,,0 full defects,"March 12th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,2112,
87.08,Ji-Ae Ahn,Ethiopia,,,Sidamo,,100,60,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",,Completed,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,Sample  87.08,11%,0 full defects,0,Bluish-Green,1 full defects,"September 3rd, 2014",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,,
86.92,NUCOFFEE,Brazil,Fazenda Kaquend,NUCOFFEE,South of Minas,Ralph Junqueira,3,60,NUCOFFEE,2011,"December 3rd, 2011",Bourbon,Completed,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,Sample  86.92,12%,0 full defects,0,Green,2 full defects,"December 2nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1250,
86.92,Ethiopia Commodity Exchange,Ethiopia,,,Sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",,Completed,,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,Sample  86.92,5%,0 full defects,0,,2 full defects,"June 16th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,
86.83,Kabum Trading company,Uganda,Chebonet (23) women coffee,Kabum Trading company,Kapchorwa Eastern,Kabum trading company,100,60,Uganda Coffee Development Authority,2013,"June 26th, 2014",SL14,Completed,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,Sample  86.83,12%,0 full defects,0,Green,1 full defects,"June 26th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,meters,1950,
86.67,Bismarck Castro,Honduras,Los Hicaques,CIGRAH S.A DE C.V,Comayagua,Reinerio Zepeda,275,69,Instituto Hondureño del Café,2016,"May 18th, 2017",Caturra,Completed,,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,Sample  86.67,10%,0 full defects,0,Green,3 full defects,"May 18th, 2018",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042,meters,1400,
86.58,"Lin, Che-Hao Krude 林哲豪",Taiwan,Tsoustructive Garden 鄒築園,Taiwan Coffee Laboratory,"Leye, Alishan Township, Chiayi County","FANG,ZHENG-LUN 方政倫",20,50,Specialty Coffee Association,2015,"May 18th, 2016",Sumatra,Completed,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,Sample  86.58,0%,0 full defects,0,Green,0 full defects,"May 18th, 2017",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1200,
86.58,Nora Zeas,Nicaragua,,,,,275,6,Specialty Coffee Association,,"May 18th, 2010",,Completed,,7.92,8.25,8,8.33,8,8.08,10,10,10,8,Sample  86.58,8%,0 full defects,0,,2 full defects,"May 18th, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
86.5,Specialty Coffee-Korea,"Tanzania, United Republic Of",,,,,100,60,Specialty Coffee Institute of Asia,2012,"September 3rd, 2013",,Completed,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,Sample  86.50,11%,0 full defects,0,Bluish-Green,1 full defects,"September 3rd, 2014",Specialty Coffee Institute of Asia,"3F, 259-1 Ulgiro-3-ga, Joong-gu, Seoul, South Korea, Zip code:100-847","Sung-Yong Steven Kil - 82-10-7912-1456-English, 82-2269-1456-Korean",,,
86.42,NUCOFFEE,Brazil,Fazenda Recreio,NUCOFFEE,Vale da Grama,Homero Texeira de Macedo Junior,29,60,NUCOFFEE,2011,"December 3rd, 2011",Bourbon,Completed,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,Sample  86.42,12%,0 full defects,0,Green,2 full defects,"December 2nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1300,
86.33,Francisco A Mena,Costa Rica,Exclusive Coffees S.A.,Exclusive Coffees S.A.,West and Central Valley,Exclusive Coffees S.A.,250,0.907184,Specialty Coffee Association of Costa Rica,2015/2016,"December 3rd, 2015",Caturra,Completed,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,Sample  86.33,0%,0 full defects,0,Blue-Green,0 full defects,"December 2nd, 2016",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685,meters,1300,
86.25,Hider Abamecha,Ethiopia,Haider Abamecha Coffee Plantation,Haider Abamecha Coffee Export,Oromia,Haider Abamecha Abadiko,320,60,METAD Agricultural Development plc,2014,"March 27th, 2015",,Completed,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,Sample  86.25,10%,0 full defects,0,Green,3 full defects,"March 26th, 2016",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",meters,1750,1800
86.25,Daniel Magu,Kenya,Kangunu,C dorman Ltd,Muranga,Kangunu,320,1,Kenya Coffee Traders Association,2013,"May 30th, 2014",SL34,Completed,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,Sample  86.25,12%,0 full defects,0,Blue-Green,1 full defects,"May 30th, 2015",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,meters,1800,
86.25,Kona Pacific Farmers Cooperative,United States (Hawaii),,Kona Pacific Farmers Cooperative,KONA,,10,45.3592,Specialty Coffee Association,2012,"April 6th, 2012",Hawaiian Kona,Completed,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,Sample  86.25,0%,1 full defects,0,,4 full defects,"April 6th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
86.25,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Co-Op,,Kona,Kona Pacific Farmers Co-Op,25,45.3592,Specialty Coffee Association,2010,"January 28th, 2011",,Completed,,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,Sample  86.25,0%,2 full defects,0,,1 full defects,"January 28th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,,,
86.25,Ethiopia Commodity Exchange,Ethiopia,"Phone number | 0911-51-08-01, Email | at",,Yirgacheffe,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",,Completed,,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,Sample  86.25,10%,0 full defects,0,,2 full defects,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,,,
86.17,CQI Q Coffee Sample Representative,United States,La Primavera,Coffee Quality Institute,Antioquía-Urrao,Hugo Sepúlveda Montoya,10,1,Almacafé,2014,"March 13th, 2015",Other,Completed,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,Sample  86.17,0%,0 full defects,0,,0 full defects,"March 12th, 2016",Almacafé,"Calle 73 No. 8-13 Piso 2 Torre B Bogota, Colombia",Rodrigo Alarcon - 3136600,meters,1941,
86.17,ITDP International,Thailand,Co-op #12,Lanna Cafe,Chiang Rai,ITDP,53,1,Specialty Coffee Association,2012,"April 12th, 2012",Caturra,Completed,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,Sample  86.17,10%,1 full defects,0,Green,9 full defects,"April 12th, 2013",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1300,
86.17,Jacques Pereira Carneiro,Brazil,Pereira Estate Coffee,,Sul de Minas - Carmo de Minas,Maria Rogeria Costa Pereira,300,60,Specialty Coffee Association,2010,"January 4th, 2011",Yellow Bourbon,Completed,,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,Sample  86.17,8%,0 full defects,0,,2 full defects,"January 4th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,,
86.17,Jacques Pereira Carneiro,Brazil,Pereira Estate Coffee,,Sul de Minas - Carmo de Minas,Maria Rogeria Costa Pereira,300,60,Specialty Coffee Association,2010,"January 4th, 2011",Yellow Bourbon,Completed,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,Sample  86.17,1%,0 full defects,0,,3 full defects,"January 4th, 2012",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,,
86.08,"Lin, Che-Hao Krude 林哲豪",Taiwan,Sunshine Valley Estate 向陽高山咖啡,Taiwan Coffee Laboratory,"Guoxing Township, Nantou County 南投縣國姓鄉",LIN YEN CHIEN 林言謙,10,15,Specialty Coffee Association,2015,"June 10th, 2015",Bourbon,Completed,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,Sample  86.08,12%,0 full defects,0,Green,0 full defects,"June 9th, 2016",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1000,
86.08,Jungle Estate,Kenya,JUNGLE ESTATE,Keremara Limited,NYERI,JUNGLE ESTATE,12,60,Kenya Coffee Traders Association,2014,"January 29th, 2015",SL28,Completed,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,Sample  86.08,11%,0 full defects,0,Bluish-Green,2 full defects,"January 29th, 2016",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya",Ivy Sarah Nderitu - +254 786 821 621,meters,1754,
86.08,NUCOFFEE,Brazil,Fazenda Kaquend,NUCOFFEE,South of Minas Gerais,Ralph Junqueira,7,60,NUCOFFEE,2011,"December 3rd, 2011",Bourbon,Completed,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,Sample  86.08,11%,0 full defects,0,Blue-Green,2 full defects,"December 2nd, 2012",NUCOFFEE,"Av. Nações Unidas, 18.001 - 5° floor",-,meters,1250,
86,Great Lakes Coffee Uganda,Uganda,Kaasayi,UCDA,Eastern Uganda,Kaasay Farmer Group,1,60,Uganda Coffee Development Authority,2014,"October 1st, 2014",,Completed,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,Sample  86.00,0%,0 full defects,0,,0 full defects,"October 1st, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,,,
86,LUSSO LAB,Colombia,Ecobio Colombia,LUSSO COFFEE LAB,Tolima,,1,2,Specialty Coffee Association,2013,"March 20th, 2014",Caturra,Completed,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,Sample  86.00,12%,1 full defects,0,Green,1 full defects,"March 20th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,900,1500
86,LUSSO LAB,Kenya,KIANJAVI,LUSSO COFFEE LAB,Kiambu,,1,1,Specialty Coffee Association,2013,"February 6th, 2014",SL28,Completed,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,Sample  86.00,11%,0 full defects,0,Green,1 full defects,"February 6th, 2015",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,meters,1520,2200
86,AFCA,Uganda,,Kawacom Ltd,"Sipi, Mt Elgon",Kawacom,1,60,Africa Fine Coffee Association,2012,"February 13th, 2012",Other,Completed,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,Sample  86.00,10%,0 full defects,0,Blue-Green,0 full defects,"February 12th, 2013",Africa Fine Coffee Association,"P.O.Box 27405, Plot 4, Bazarabuza Drive, Bugolobi, Kampala, Uganda.",Faith Asaji - +256 414 269 140,meters,1400,1900
86,Ethiopia Commodity Exchange,Ethiopia,Contact | sidacoop@ethionet.net,,Sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",,Completed,,7.75,8.08,8,8.25,8,8,10,10,10,7.92,Sample  86.00,1%,0 full defects,0,,4 full defects,"June 17th, 2011",Ethiopia Commodity Exchange,"Al-Sam Tower 2, 3rd Floor Lideta, Addis Ababa, Ethiopia",- +251 11 554 7001,meters,1500,2000
86,Grounds for Health Admin,United States (Hawaii),Hula Daddy Kona Coffee,,Kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,"May 31st, 2010",,Completed,,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,Sample  86.00,0%,0 full defects,0,,0 full defects,"May 31st, 2011",Specialty Coffee Association,"117 W 4th St, Suite 300 Santa Ana, CA 92701",Chris Buck - (562) 624-4100,feet,1400,
85.92,Juan Luis Alvarado Romero,Guatemala,LA ESPERANZA Y ANEXOS,"UNEX GUATEMALA, S.A.",NUEVO ORIENTE,MARGARITA AVILA DE NUYENS,80,69,Asociacion Nacional Del Café,2016,"May 16th, 2016",Bourbon,Completed,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,Sample  85.92,10%,0 full defects,1,Green,3 full defects,"May 16th, 2017",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Juan Luis Alvarado Romero - +502 2311.1951,,,
85.92,Kawacom Uganda LTD,Uganda,Sipi organic coffee project,Kawacom uganda LTD,Eastern,Kawacom (U)Ltd,1,60,Uganda Coffee Development Authority,2013,"June 30th, 2014",SL14,Completed,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,Sample  85.92,12%,0 full defects,0,Green,0 full defects,"June 30th, 2015",Uganda Coffee Development Authority,"Coffee House, Plot 35, Jinja Road, P.O. Box 7267, Kampala, Uganda",Clare Rwakatogoro - 256-41-256940/233073,meters,1400,1900
